DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
17-Dec-2025,EQ,"2,188.00","2,193.20","2,163.50","2,182.40","2,171.00","2,173.20","2,173.18","2,301.90","1,723.75","16,12,144","3,50,34,83,581.30","74,526"
16-Dec-2025,EQ,"2,178.00","2,194.00","2,171.50","2,181.30","2,184.00","2,182.40","2,182.29","2,301.90","1,723.75","17,08,919","3,72,93,54,003.20","85,749"
15-Dec-2025,EQ,"2,167.10","2,185.60","2,156.50","2,176.60","2,182.70","2,181.30","2,173.32","2,301.90","1,723.75","27,55,980","5,98,96,39,800.30","1,70,696"
12-Dec-2025,EQ,"2,181.70","2,201.00","2,174.70","2,180.20","2,177.30","2,176.60","2,184.41","2,301.90","1,723.75","28,62,549","6,25,29,72,454.70","1,15,505"
11-Dec-2025,EQ,"2,129.50","2,205.00","2,119.10","2,129.50","2,173.30","2,180.20","2,185.74","2,301.90","1,723.75","49,95,720","10,91,93,54,900.30","2,22,529"
10-Dec-2025,EQ,"2,130.00","2,155.50","2,123.70","2,127.70","2,128.00","2,129.50","2,136.93","2,301.90","1,723.75","21,88,267","4,67,61,75,068.80","96,199"
09-Dec-2025,EQ,"2,120.00","2,133.40","2,108.90","2,131.60","2,132.00","2,127.70","2,123.86","2,301.90","1,723.75","32,07,510","6,81,22,99,599.90","1,09,310"
08-Dec-2025,EQ,"2,158.70","2,158.90","2,126.00","2,154.90","2,129.80","2,131.60","2,140.05","2,301.90","1,723.75","29,92,047","6,40,31,21,077.90","84,317"
05-Dec-2025,EQ,"2,135.00","2,166.00","2,132.00","2,135.40","2,156.00","2,154.90","2,152.97","2,301.90","1,723.75","19,31,695","4,15,88,77,425.60","82,280"
04-Dec-2025,EQ,"2,146.10","2,146.80","2,121.50","2,146.10","2,134.00","2,135.40","2,133.65","2,301.90","1,723.75","25,74,328","5,49,27,22,975.60","90,237"
03-Dec-2025,EQ,"2,135.10","2,151.70","2,119.10","2,142.40","2,150.00","2,146.10","2,133.50","2,301.90","1,723.75","28,06,203","5,98,70,40,548.40","68,101"
02-Dec-2025,EQ,"2,140.00","2,160.00","2,139.40","2,147.60","2,143.60","2,142.40","2,150.15","2,301.90","1,723.75","36,58,833","7,86,70,53,942.80","1,04,427"
